country,date,indicator,countryiso3code,value,unit,obs_status,decimal,Region
Bangladesh,2017,"Mobile money account, female (% age 15+)",BGD,10.27,,,0,South Asia
Bangladesh,2021,"Mobile money account, female (% age 15+)",BGD,20.28,,,0,South Asia
Bangladesh,2022,"Mobile money account, female (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2011,"Mobile money account, male (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2014,"Mobile money account, male (% age 15+)",BGD,3.24,,,0,South Asia
Bangladesh,2017,"Mobile money account, male (% age 15+)",BGD,32.47,,,0,South Asia
Bangladesh,2021,"Mobile money account, male (% age 15+)",BGD,38.39,,,0,South Asia
Bangladesh,2022,"Mobile money account, male (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2011,"Mobile money account, rural (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2014,"Mobile money account, rural (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2017,"Mobile money account, rural (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2021,"Mobile money account, rural (% age 15+)",BGD,34.06,,,0,South Asia
Bangladesh,2022,"Mobile money account, rural (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2011,"Mobile money account, urban (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2014,"Mobile money account, urban (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2017,"Mobile money account, urban (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2021,"Mobile money account, urban (% age 15+)",BGD,27.41,,,0,South Asia
Bangladesh,2022,"Mobile money account, urban (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2011,Own a mobile phone (% age 15+),BGD,..,,,0,South Asia
Bangladesh,2014,Own a mobile phone (% age 15+),BGD,..,,,0,South Asia
Bangladesh,2017,Own a mobile phone (% age 15+),BGD,..,,,0,South Asia
Bangladesh,2021,Own a mobile phone (% age 15+),BGD,78.94,,,0,South Asia
Bangladesh,2022,Own a mobile phone (% age 15+),BGD,..,,,0,South Asia
Bangladesh,2011,Owns a debit or credit card (% age 15+),BGD,2.49,,,0,South Asia
Bangladesh,2014,Owns a debit or credit card (% age 15+),BGD,5.17,,,0,South Asia
Bangladesh,2017,Owns a debit or credit card (% age 15+),BGD,6.2,,,0,South Asia
Bangladesh,2021,Owns a debit or credit card (% age 15+),BGD,4.94,,,0,South Asia
Bangladesh,2022,Owns a debit or credit card (% age 15+),BGD,..,,,0,South Asia
Bhutan,2011,Account (% age 15+),BTN,..,,,0,South Asia
Bhutan,2014,Account (% age 15+),BTN,33.67,,,0,South Asia
Bhutan,2017,Account (% age 15+),BTN,..,,,0,South Asia
Bhutan,2021,Account (% age 15+),BTN,..,,,0,South Asia
Bhutan,2022,Account (% age 15+),BTN,..,,,0,South Asia
Bhutan,2011,"Account, female (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2014,"Account, female (% age 15+)",BTN,27.68,,,0,South Asia
Bhutan,2017,"Account, female (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2021,"Account, female (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2022,"Account, female (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2011,"Account, male (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2014,"Account, male (% age 15+)",BTN,38.99,,,0,South Asia
Bhutan,2017,"Account, male (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2021,"Account, male (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2022,"Account, male (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2011,"Account, rural (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2014,"Account, rural (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2017,"Account, rural (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2021,"Account, rural (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2022,"Account, rural (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2011,"Account, urban (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2014,"Account, urban (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2017,"Account, urban (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2021,"Account, urban (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2022,"Account, urban (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2011,Financial institution account (% age 15+),BTN,..,,,0,South Asia
Bhutan,2014,Financial institution account (% age 15+),BTN,33.67,,,0,South Asia
Bhutan,2017,Financial institution account (% age 15+),BTN,..,,,0,South Asia
Bhutan,2021,Financial institution account (% age 15+),BTN,..,,,0,South Asia
Bhutan,2022,Financial institution account (% age 15+),BTN,..,,,0,South Asia
Bhutan,2011,"Financial institution account, female (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2014,"Financial institution account, female (% age 15+)",BTN,27.68,,,0,South Asia
Bhutan,2017,"Financial institution account, female (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2021,"Financial institution account, female (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2022,"Financial institution account, female (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2011,"Financial institution account, male (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2014,"Financial institution account, male (% age 15+)",BTN,38.99,,,0,South Asia
Bhutan,2017,"Financial institution account, male (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2021,"Financial institution account, male (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2022,"Financial institution account, male (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2011,"Financial institution account, rural (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2014,"Financial institution account, rural (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2017,"Financial institution account, rural (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2021,"Financial institution account, rural (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2022,"Financial institution account, rural (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2011,"Financial institution account, urban (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2014,"Financial institution account, urban (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2017,"Financial institution account, urban (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2021,"Financial institution account, urban (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2022,"Financial institution account, urban (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2011,Mobile money account (% age 15+),BTN,..,,,0,South Asia
Bhutan,2014,Mobile money account (% age 15+),BTN,..,,,0,South Asia
Bhutan,2017,Mobile money account (% age 15+),BTN,..,,,0,South Asia
Bhutan,2021,Mobile money account (% age 15+),BTN,..,,,0,South Asia
Bhutan,2022,Mobile money account (% age 15+),BTN,..,,,0,South Asia
Bhutan,2011,"Mobile money account, female (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2014,"Mobile money account, female (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2017,"Mobile money account, female (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2021,"Mobile money account, female (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2022,"Mobile money account, female (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2011,"Mobile money account, male (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2014,"Mobile money account, male (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2017,"Mobile money account, male (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2021,"Mobile money account, male (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2022,"Mobile money account, male (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2011,"Mobile money account, rural (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2014,"Mobile money account, rural (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2017,"Mobile money account, rural (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2021,"Mobile money account, rural (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2022,"Mobile money account, rural (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2011,"Mobile money account, urban (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2014,"Mobile money account, urban (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2017,"Mobile money account, urban (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2021,"Mobile money account, urban (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2022,"Mobile money account, urban (% age 15+)",BTN,..,,,0,South Asia
Bhutan,2011,Own a mobile phone (% age 15+),BTN,..,,,0,South Asia
Bhutan,2014,Own a mobile phone (% age 15+),BTN,..,,,0,South Asia
Bhutan,2017,Own a mobile phone (% age 15+),BTN,..,,,0,South Asia
Bhutan,2021,Own a mobile phone (% age 15+),BTN,..,,,0,South Asia
Bhutan,2022,Own a mobile phone (% age 15+),BTN,..,,,0,South Asia
Bhutan,2011,Owns a debit or credit card (% age 15+),BTN,..,,,0,South Asia
Bhutan,2014,Owns a debit or credit card (% age 15+),BTN,17.45,,,0,South Asia
Bhutan,2017,Owns a debit or credit card (% age 15+),BTN,..,,,0,South Asia
Bhutan,2021,Owns a debit or credit card (% age 15+),BTN,..,,,0,South Asia
Bhutan,2022,Owns a debit or credit card (% age 15+),BTN,..,,,0,South Asia
Cambodia,2011,Account (% age 15+),KHM,3.66,,,0,ASEAN
Cambodia,2014,Account (% age 15+),KHM,22.17,,,0,ASEAN
Cambodia,2017,Account (% age 15+),KHM,21.67,,,0,ASEAN
Cambodia,2021,Account (% age 15+),KHM,33.39,,,0,ASEAN
Cambodia,2022,Account (% age 15+),KHM,..,,,0,ASEAN
Cambodia,2011,"Account, female (% age 15+)",KHM,3.71,,,0,ASEAN
Cambodia,2014,"Account, female (% age 15+)",KHM,20.5,,,0,ASEAN
Cambodia,2017,"Account, female (% age 15+)",KHM,21.53,,,0,ASEAN
Cambodia,2021,"Account, female (% age 15+)",KHM,32.52,,,0,ASEAN
Cambodia,2022,"Account, female (% age 15+)",KHM,..,,,0,ASEAN
Cambodia,2011,"Account, male (% age 15+)",KHM,3.6,,,0,ASEAN
Cambodia,2014,"Account, male (% age 15+)",KHM,24.29,,,0,ASEAN
Cambodia,2017,"Account, male (% age 15+)",KHM,21.85,,,0,ASEAN
Cambodia,2021,"Account, male (% age 15+)",KHM,34.41,,,0,ASEAN
Cambodia,2022,"Account, male (% age 15+)",KHM,..,,,0,ASEAN
Cambodia,2011,"Account, rural (% age 15+)",KHM,..,,,0,ASEAN
Cambodia,2014,"Account, rural (% age 15+)",KHM,..,,,0,ASEAN
Cambodia,2017,"Account, rural (% age 15+)",KHM,..,,,0,ASEAN
Cambodia,2021,"Account, rural (% age 15+)",KHM,27.7,,,0,ASEAN
Cambodia,2022,"Account, rural (% age 15+)",KHM,..,,,0,ASEAN
Cambodia,2011,"Account, urban (% age 15+)",KHM,..,,,0,ASEAN
Cambodia,2014,"Account, urban (% age 15+)",KHM,..,,,0,ASEAN
Cambodia,2017,"Account, urban (% age 15+)",KHM,..,,,0,ASEAN
Cambodia,2021,"Account, urban (% age 15+)",KHM,52.56,,,0,ASEAN
Cambodia,2022,"Account, urban (% age 15+)",KHM,..,,,0,ASEAN
Cambodia,2011,Financial institution account (% age 15+),KHM,3.66,,,0,ASEAN
Cambodia,2014,Financial institution account (% age 15+),KHM,12.56,,,0,ASEAN
Cambodia,2017,Financial institution account (% age 15+),KHM,17.8,,,0,ASEAN
Cambodia,2021,Financial institution account (% age 15+),KHM,32.6,,,0,ASEAN
Cambodia,2022,Financial institution account (% age 15+),KHM,..,,,0,ASEAN
Cambodia,2011,"Financial institution account, female (% age 15+)",KHM,3.71,,,0,ASEAN
Cambodia,2014,"Financial institution account, female (% age 15+)",KHM,10.68,,,0,ASEAN
Cambodia,2017,"Financial institution account, female (% age 15+)",KHM,17.24,,,0,ASEAN
Cambodia,2021,"Financial institution account, female (% age 15+)",KHM,31.3,,,0,ASEAN
Cambodia,2022,"Financial institution account, female (% age 15+)",KHM,..,,,0,ASEAN
Cambodia,2011,"Financial institution account, male (% age 15+)",KHM,3.6,,,0,ASEAN
Cambodia,2014,"Financial institution account, male (% age 15+)",KHM,14.94,,,0,ASEAN
Cambodia,2017,"Financial institution account, male (% age 15+)",KHM,18.48,,,0,ASEAN
Cambodia,2021,"Financial institution account, male (% age 15+)",KHM,34.12,,,0,ASEAN
Cambodia,2022,"Financial institution account, male (% age 15+)",KHM,..,,,0,ASEAN
Cambodia,2011,"Financial institution account, rural (% age 15+)",KHM,..,,,0,ASEAN
Cambodia,2014,"Financial institution account, rural (% age 15+)",KHM,..,,,0,ASEAN
Cambodia,2017,"Financial institution account, rural (% age 15+)",KHM,..,,,0,ASEAN
Cambodia,2021,"Financial institution account, rural (% age 15+)",KHM,27.26,,,0,ASEAN
Cambodia,2022,"Financial institution account, rural (% age 15+)",KHM,..,,,0,ASEAN
Cambodia,2011,"Financial institution account, urban (% age 15+)",KHM,..,,,0,ASEAN
Cambodia,2014,"Financial institution account, urban (% age 15+)",KHM,..,,,0,ASEAN
Cambodia,2017,"Financial institution account, urban (% age 15+)",KHM,..,,,0,ASEAN
Cambodia,2021,"Financial institution account, urban (% age 15+)",KHM,50.54,,,0,ASEAN
Cambodia,2022,"Financial institution account, urban (% age 15+)",KHM,..,,,0,ASEAN
Cambodia,2011,Mobile money account (% age 15+),KHM,..,,,0,ASEAN
Cambodia,2014,Mobile money account (% age 15+),KHM,13.29,,,0,ASEAN
Cambodia,2017,Mobile money account (% age 15+),KHM,5.66,,,0,ASEAN
Cambodia,2021,Mobile money account (% age 15+),KHM,6.6,,,0,ASEAN
Cambodia,2022,Mobile money account (% age 15+),KHM,..,,,0,ASEAN
Cambodia,2011,"Mobile money account, female (% age 15+)",KHM,..,,,0,ASEAN
Cambodia,2014,"Mobile money account, female (% age 15+)",KHM,12.8,,,0,ASEAN
Cambodia,2017,"Mobile money account, female (% age 15+)",KHM,5.34,,,0,ASEAN
Cambodia,2021,"Mobile money account, female (% age 15+)",KHM,5.16,,,0,ASEAN
Cambodia,2022,"Mobile money account, female (% age 15+)",KHM,..,,,0,ASEAN
Cambodia,2011,"Mobile money account, male (% age 15+)",KHM,..,,,0,ASEAN
Cambodia,2014,"Mobile money account, male (% age 15+)",KHM,13.92,,,0,ASEAN
Cambodia,2017,"Mobile money account, male (% age 15+)",KHM,6.04,,,0,ASEAN
Cambodia,2021,"Mobile money account, male (% age 15+)",KHM,8.28,,,0,ASEAN
Cambodia,2022,"Mobile money account, male (% age 15+)",KHM,..,,,0,ASEAN
Cambodia,2011,"Mobile money account, rural (% age 15+)",KHM,..,,,0,ASEAN
Cambodia,2014,"Mobile money account, rural (% age 15+)",KHM,..,,,0,ASEAN
Cambodia,2017,"Mobile money account, rural (% age 15+)",KHM,..,,,0,ASEAN
Cambodia,2021,"Mobile money account, rural (% age 15+)",KHM,4.31,,,0,ASEAN
Cambodia,2022,"Mobile money account, rural (% age 15+)",KHM,..,,,0,ASEAN
Cambodia,2011,"Mobile money account, urban (% age 15+)",KHM,..,,,0,ASEAN
Cambodia,2014,"Mobile money account, urban (% age 15+)",KHM,..,,,0,ASEAN
Cambodia,2017,"Mobile money account, urban (% age 15+)",KHM,..,,,0,ASEAN
Cambodia,2021,"Mobile money account, urban (% age 15+)",KHM,14.31,,,0,ASEAN
Cambodia,2022,"Mobile money account, urban (% age 15+)",KHM,..,,,0,ASEAN
Cambodia,2011,Own a mobile phone (% age 15+),KHM,..,,,0,ASEAN
Cambodia,2014,Own a mobile phone (% age 15+),KHM,..,,,0,ASEAN
Cambodia,2017,Own a mobile phone (% age 15+),KHM,..,,,0,ASEAN
Cambodia,2021,Own a mobile phone (% age 15+),KHM,81.44,,,0,ASEAN
Cambodia,2022,Own a mobile phone (% age 15+),KHM,..,,,0,ASEAN
Cambodia,2011,Owns a debit or credit card (% age 15+),KHM,2.95,,,0,ASEAN
Cambodia,2014,Owns a debit or credit card (% age 15+),KHM,7.4,,,0,ASEAN
Cambodia,2017,Owns a debit or credit card (% age 15+),KHM,7.56,,,0,ASEAN
Cambodia,2021,Owns a debit or credit card (% age 15+),KHM,14.79,,,0,ASEAN
Cambodia,2022,Owns a debit or credit card (% age 15+),KHM,..,,,0,ASEAN
India,2011,Account (% age 15+),IND,35.23,,,0,South Asia
India,2014,Account (% age 15+),IND,53.14,,,0,South Asia
India,2017,Account (% age 15+),IND,79.88,,,0,South Asia
India,2021,Account (% age 15+),IND,77.53,,,0,South Asia
India,2022,Account (% age 15+),IND,..,,,0,South Asia
India,2011,"Account, female (% age 15+)",IND,26.49,,,0,South Asia
India,2014,"Account, female (% age 15+)",IND,43.13,,,0,South Asia
India,2017,"Account, female (% age 15+)",IND,76.64,,,0,South Asia
India,2021,"Account, female (% age 15+)",IND,77.55,,,0,South Asia
India,2022,"Account, female (% age 15+)",IND,..,,,0,South Asia
India,2011,"Account, male (% age 15+)",IND,43.74,,,0,South Asia
India,2014,"Account, male (% age 15+)",IND,62.76,,,0,South Asia
India,2017,"Account, male (% age 15+)",IND,83.01,,,0,South Asia
India,2021,"Account, male (% age 15+)",IND,77.51,,,0,South Asia
India,2022,"Account, male (% age 15+)",IND,..,,,0,South Asia
India,2011,"Account, rural (% age 15+)",IND,..,,,0,South Asia
India,2014,"Account, rural (% age 15+)",IND,..,,,0,South Asia
India,2017,"Account, rural (% age 15+)",IND,..,,,0,South Asia
India,2021,"Account, rural (% age 15+)",IND,77.26,,,0,South Asia
India,2022,"Account, rural (% age 15+)",IND,..,,,0,South Asia
India,2011,"Account, urban (% age 15+)",IND,..,,,0,South Asia
India,2014,"Account, urban (% age 15+)",IND,..,,,0,South Asia
India,2017,"Account, urban (% age 15+)",IND,..,,,0,South Asia
India,2021,"Account, urban (% age 15+)",IND,77.83,,,0,South Asia
India,2022,"Account, urban (% age 15+)",IND,..,,,0,South Asia
India,2011,Financial institution account (% age 15+),IND,35.23,,,0,South Asia
India,2014,Financial institution account (% age 15+),IND,52.75,,,0,South Asia
India,2017,Financial institution account (% age 15+),IND,79.84,,,0,South Asia
India,2021,Financial institution account (% age 15+),IND,77.3,,,0,South Asia
India,2022,Financial institution account (% age 15+),IND,..,,,0,South Asia
India,2011,"Financial institution account, female (% age 15+)",IND,26.49,,,0,South Asia
India,2014,"Financial institution account, female (% age 15+)",IND,42.64,,,0,South Asia
India,2017,"Financial institution account, female (% age 15+)",IND,76.64,,,0,South Asia
India,2021,"Financial institution account, female (% age 15+)",IND,77.47,,,0,South Asia
India,2022,"Financial institution account, female (% age 15+)",IND,..,,,0,South Asia
India,2011,"Financial institution account, male (% age 15+)",IND,43.74,,,0,South Asia
India,2014,"Financial institution account, male (% age 15+)",IND,62.47,,,0,South Asia
India,2017,"Financial institution account, male (% age 15+)",IND,82.94,,,0,South Asia
India,2021,"Financial institution account, male (% age 15+)",IND,77.15,,,0,South Asia
India,2022,"Financial institution account, male (% age 15+)",IND,..,,,0,South Asia
India,2011,"Financial institution account, rural (% age 15+)",IND,..,,,0,South Asia
India,2014,"Financial institution account, rural (% age 15+)",IND,..,,,0,South Asia
India,2017,"Financial institution account, rural (% age 15+)",IND,..,,,0,South Asia
India,2021,"Financial institution account, rural (% age 15+)",IND,77.03,,,0,South Asia
India,2022,"Financial institution account, rural (% age 15+)",IND,..,,,0,South Asia
India,2011,"Financial institution account, urban (% age 15+)",IND,..,,,0,South Asia
India,2014,"Financial institution account, urban (% age 15+)",IND,..,,,0,South Asia
India,2017,"Financial institution account, urban (% age 15+)",IND,..,,,0,South Asia
India,2021,"Financial institution account, urban (% age 15+)",IND,77.62,,,0,South Asia
India,2022,"Financial institution account, urban (% age 15+)",IND,..,,,0,South Asia
India,2011,Mobile money account (% age 15+),IND,..,,,0,South Asia
India,2014,Mobile money account (% age 15+),IND,2.35,,,0,South Asia
India,2017,Mobile money account (% age 15+),IND,1.99,,,0,South Asia
India,2021,Mobile money account (% age 15+),IND,10.44,,,0,South Asia
India,2022,Mobile money account (% age 15+),IND,..,,,0,South Asia
India,2011,"Mobile money account, female (% age 15+)",IND,..,,,0,South Asia
India,2014,"Mobile money account, female (% age 15+)",IND,1.17,,,0,South Asia
India,2017,"Mobile money account, female (% age 15+)",IND,0.86,,,0,South Asia
India,2021,"Mobile money account, female (% age 15+)",IND,5.12,,,0,South Asia
India,2022,"Mobile money account, female (% age 15+)",IND,..,,,0,South Asia
India,2011,"Mobile money account, male (% age 15+)",IND,..,,,0,South Asia
India,2014,"Mobile money account, male (% age 15+)",IND,3.49,,,0,South Asia
India,2017,"Mobile money account, male (% age 15+)",IND,3.1,,,0,South Asia
India,2021,"Mobile money account, male (% age 15+)",IND,15.41,,,0,South Asia
India,2022,"Mobile money account, male (% age 15+)",IND,..,,,0,South Asia
India,2011,"Mobile money account, rural (% age 15+)",IND,..,,,0,South Asia
India,2014,"Mobile money account, rural (% age 15+)",IND,..,,,0,South Asia
India,2017,"Mobile money account, rural (% age 15+)",IND,..,,,0,South Asia
India,2021,"Mobile money account, rural (% age 15+)",IND,7.2,,,0,South Asia
India,2022,"Mobile money account, rural (% age 15+)",IND,..,,,0,South Asia
India,2011,"Mobile money account, urban (% age 15+)",IND,..,,,0,South Asia
India,2014,"Mobile money account, urban (% age 15+)",IND,..,,,0,South Asia
India,2017,"Mobile money account, urban (% age 15+)",IND,..,,,0,South Asia
India,2021,"Mobile money account, urban (% age 15+)",IND,14.17,,,0,South Asia
India,2022,"Mobile money account, urban (% age 15+)",IND,..,,,0,South Asia
India,2011,Own a mobile phone (% age 15+),IND,..,,,0,South Asia
India,2014,Own a mobile phone (% age 15+),IND,..,,,0,South Asia
India,2017,Own a mobile phone (% age 15+),IND,..,,,0,South Asia
India,2021,Own a mobile phone (% age 15+),IND,65.57,,,0,South Asia
India,2022,Own a mobile phone (% age 15+),IND,..,,,0,South Asia
India,2011,Owns a debit or credit card (% age 15+),IND,9.13,,,0,South Asia
India,2014,Owns a debit or credit card (% age 15+),IND,22.26,,,0,South Asia
India,2017,Owns a debit or credit card (% age 15+),IND,33.5,,,0,South Asia
India,2021,Owns a debit or credit card (% age 15+),IND,27.83,,,0,South Asia
India,2022,Owns a debit or credit card (% age 15+),IND,..,,,0,South Asia
Indonesia,2011,Account (% age 15+),IDN,19.58,,,0,ASEAN
Indonesia,2014,Account (% age 15+),IDN,36.06,,,0,ASEAN
Indonesia,2017,Account (% age 15+),IDN,48.86,,,0,ASEAN
Indonesia,2021,Account (% age 15+),IDN,51.76,,,0,ASEAN
Indonesia,2022,Account (% age 15+),IDN,..,,,0,ASEAN
Indonesia,2011,"Account, female (% age 15+)",IDN,19.21,,,0,ASEAN
Indonesia,2014,"Account, female (% age 15+)",IDN,37.46,,,0,ASEAN
Indonesia,2017,"Account, female (% age 15+)",IDN,51.35,,,0,ASEAN
Indonesia,2021,"Account, female (% age 15+)",IDN,52.3,,,0,ASEAN
Indonesia,2022,"Account, female (% age 15+)",IDN,..,,,0,ASEAN
Indonesia,2011,"Account, male (% age 15+)",IDN,19.97,,,0,ASEAN
Indonesia,2014,"Account, male (% age 15+)",IDN,34.62,,,0,ASEAN
Indonesia,2017,"Account, male (% age 15+)",IDN,46.25,,,0,ASEAN
