country,year,"Value US$, 2015 prices_Value Added (Agriculture, Forestry and Fishing)","Value US$, 2015 prices_Value Added (Manufacture of food and beverages)","Value US$, 2015 prices_Credit to Agriculture, Forestry and Fishing",Use per area of cropland_Nutrient nitrogen N (total)
Bhutan,2021,312.452613,,79.381617,10.16
Bhutan,2022,308.875012,,57.475975,5.96
Bhutan,2023,313.113808,,54.87033,
Bhutan,2024,322.785331,,,
Brunei Darussalam,2010,123.07953,,,60.4
Brunei Darussalam,2011,119.853584,,,26.3
Brunei Darussalam,2012,129.603582,,,29.3
Brunei Darussalam,2013,128.046372,,,7.0
Brunei Darussalam,2014,134.089727,,,24.3
Brunei Darussalam,2015,142.64866,,,24.3
Brunei Darussalam,2016,137.554053,,,24.3
Brunei Darussalam,2017,135.412961,,,24.3
Brunei Darussalam,2018,133.279165,,,24.3
Brunei Darussalam,2019,131.395781,,,24.3
Brunei Darussalam,2020,150.309471,,,24.3
Brunei Darussalam,2021,175.739276,,,24.3
Brunei Darussalam,2022,169.921335,,,24.3
Brunei Darussalam,2023,154.590485,,,
Brunei Darussalam,2024,160.803395,,,
Cambodia,2010,4472.250514,,239.660505,5.84
Cambodia,2011,4584.565098,,411.772325,9.28
Cambodia,2012,4779.782802,,591.808333,13.71
Cambodia,2013,4831.217196,,741.766174,12.45
Cambodia,2014,4859.563939,,970.962032,15.66
Cambodia,2015,4868.883116,,1223.686074,19.49
Cambodia,2016,4933.275905,,1458.662745,13.25
Cambodia,2017,5015.958915,,1625.968197,26.84
Cambodia,2018,5071.323626,,1679.807083,29.32
Cambodia,2019,5053.213841,,1706.541273,25.19
Cambodia,2020,5083.193751,,2142.095004,24.18
Cambodia,2021,5161.398779,,2758.956887,26.33
Cambodia,2022,5192.332352,,3218.642022,18.35
Cambodia,2023,5228.344376,,3878.954331,
Cambodia,2024,5360.91451,,,
India,2010,303288.421556,19993.61958,80131.349344,97.21
India,2011,322692.165629,22080.272538,87048.97562,102.54
India,2012,327492.084112,22362.532668,81989.202075,99.33
India,2013,345734.950934,23742.672764,111396.81609,98.85
India,2014,344986.613886,24817.967598,115140.92509,100.02
India,2015,347227.644556,29027.407875,126492.12846,102.54
India,2016,370830.647277,33847.001216,131844.37421,98.84
India,2017,395327.428804,36665.838138,144301.16509,100.41
India,2018,403615.333951,38561.245828,156983.89967,104.45
India,2019,428479.286315,39406.351813,160981.73002,111.84
India,2020,445642.855028,41019.770013,164078.3932,121.42
India,2021,466245.617768,37782.682083,165431.14971,115.97
India,2022,488191.174131,36951.063965,170748.05728,120.24
India,2023,495223.446006,,198984.27664,
India,2024,511822.147788,,,
Indonesia,2010,94801.832801,,8617.822093,71.51
Indonesia,2011,98543.617063,,10084.139178,73.45
Indonesia,2012,103063.333439,,12605.215765,73.78
Indonesia,2013,107396.414721,,15253.493806,69.02
Indonesia,2014,111948.6036,,17232.665761,71.41
Indonesia,2015,116151.993174,,19857.177552,68.85
Indonesia,2016,120069.485903,,21722.859242,71.52
Indonesia,2017,124771.325926,,23221.396078,67.18
Indonesia,2018,129617.641322,,25013.519392,72.59
Indonesia,2019,134292.303594,,25769.775991,65.49
Indonesia,2020,136671.948137,,26973.740417,78.86
Indonesia,2021,139229.294118,,27574.871028,81.6
Indonesia,2022,142368.696089,,27795.65477,65.76
Indonesia,2023,144226.192692,,29726.102052,
Indonesia,2024,149098.116958,,,
Iran (Islamic Republic of),2010,33313.585029,,21833.113097,55.31
Iran (Islamic Republic of),2011,34138.029666,,20736.776978,33.05
Iran (Islamic Republic of),2012,35845.167621,,19325.57626,39.97
Iran (Islamic Republic of),2013,37757.638533,,17199.000378,37.99
Iran (Islamic Republic of),2014,40891.26294,,18378.065843,42.58
Iran (Islamic Republic of),2015,42103.190328,,20691.800783,34.23
Iran (Islamic Republic of),2016,44184.706043,,21406.172492,34.28
Iran (Islamic Republic of),2017,45666.347818,,,35.53
Iran (Islamic Republic of),2018,44627.281525,,,41.84
Iran (Islamic Republic of),2019,48698.805272,,,46.53
Iran (Islamic Republic of),2020,50240.194108,,,51.46
Iran (Islamic Republic of),2021,48926.400433,,,51.35
Iran (Islamic Republic of),2022,49480.766228,,,51.35
Iran (Islamic Republic of),2023,49975.573891,,,
Iran (Islamic Republic of),2024,51657.433964,,,
Lao People's Democratic Republic,2010,2157.648998,,,5.74
Lao People's Democratic Republic,2011,2215.000116,,,6.28
Lao People's Democratic Republic,2012,2287.46379,,,18.73
Lao People's Democratic Republic,2013,2352.522092,,,12.63
Lao People's Democratic Republic,2014,2450.135984,,,16.38
Lao People's Democratic Republic,2015,2537.323504,392.554938,,16.17
Lao People's Democratic Republic,2016,2607.324715,404.886376,,14.39
Lao People's Democratic Republic,2017,2682.243273,422.818383,,14.96
Lao People's Democratic Republic,2018,2716.240126,,,20.66
Lao People's Democratic Republic,2019,2749.343195,,,25.81
Lao People's Democratic Republic,2020,2781.116866,,,24.02
Lao People's Democratic Republic,2021,2849.317379,,,24.0
Lao People's Democratic Republic,2022,2944.827416,,,25.65
Lao People's Democratic Republic,2023,3054.917715,,,
Lao People's Democratic Republic,2024,3154.483804,,,
Malaysia,2010,21928.46632,6042.074974,5631.52623,95.93
Malaysia,2011,23429.397637,6370.618863,5876.495451,97.45
Malaysia,2012,23654.550563,7227.174886,7568.054798,95.51
Malaysia,2013,24124.170357,7473.774805,8350.033173,71.43
Malaysia,2014,24618.131007,8835.646447,7986.966197,74.95
Malaysia,2015,24974.76283,7907.921974,9552.810008,64.97
Malaysia,2016,24062.844494,8255.100118,9120.51492,63.64
Malaysia,2017,25479.137447,8823.738589,8780.497719,57.56
Malaysia,2018,25511.96858,8756.684833,8452.882803,46.69
Malaysia,2019,26007.679723,8881.507353,8661.744116,33.67
Malaysia,2020,25376.774632,9471.978073,8261.9859,40.12
Malaysia,2021,25348.865275,10372.137156,8520.279732,55.39
Malaysia,2022,25367.556863,11212.527869,7914.684667,42.88
Malaysia,2023,25551.400148,,7735.950104,
Malaysia,2024,26278.947788,,,
Maldives,2010,215.790195,,86.507812,21.53
Maldives,2011,215.683539,,66.225735,11.86
Maldives,2012,215.289346,,44.103347,56.08
Maldives,2013,230.524527,,40.522789,47.5
Maldives,2014,229.709571,,28.475092,37.62
Maldives,2015,228.51045,,29.614095,41.91
Maldives,2016,231.94161,,33.887286,62.72
Maldives,2017,251.061565,,32.070412,64.81
Maldives,2018,263.446339,,28.842504,75.2
Maldives,2019,242.184451,,27.20689,43.07
Maldives,2020,258.047728,,22.295723,45.19
Maldives,2021,256.007249,,18.540822,52.15
Maldives,2022,271.831537,,17.55257,35.52
Maldives,2023,280.469163,,15.923542,
Maldives,2024,287.741631,,,
Myanmar,2010,15052.559947,,,4.2
Myanmar,2011,14953.11185,,,9.47
Myanmar,2012,15204.627144,,,10.7
Myanmar,2013,15758.154639,,,15.06
Myanmar,2014,16192.168765,,,19.15
Myanmar,2015,16744.004935,,,9.39
Myanmar,2016,16593.148864,,,12.01
Myanmar,2017,16775.861374,,,20.38
Myanmar,2018,13824.999175,,,21.55
Myanmar,2019,14047.58135,,,28.27
Myanmar,2020,14234.903002,,,37.8
Myanmar,2021,17991.349079,,,25.22
Myanmar,2022,18439.743716,,,7.76
Myanmar,2023,17915.490902,,,
Myanmar,2024,18599.290296,,,
Nepal,2010,5321.923865,,201.562223,18.5
Nepal,2011,5564.499596,,260.465435,23.49
Nepal,2012,5858.858782,,289.493041,20.04
Nepal,2013,5935.399816,,461.469809,34.62
Nepal,2014,6201.70052,,518.951579,43.13
Nepal,2015,6276.179453,,636.095645,47.8
Nepal,2016,6270.885182,,718.113691,48.5
Nepal,2017,6595.38812,,759.540243,42.57
Nepal,2018,6767.48091,,952.762287,61.43
Nepal,2019,7116.474198,,1249.175601,59.47
Nepal,2020,7289.516945,,1459.195983,65.99
Nepal,2021,7497.175192,,1977.78249,65.21
Nepal,2022,7673.473279,,2276.405693,41.04
Nepal,2023,7885.417917,,2428.847947,
Nepal,2024,8125.107744,,,
Pakistan,2010,60412.08376,,2643.100341,108.15
Pakistan,2011,62050.787035,,2341.513004,103.03
Pakistan,2012,64055.66239,,2463.996457,91.77
Pakistan,2013,66068.256402,,2609.601385,103.57
Pakistan,2014,67666.141434,,2757.234077,100.45
Pakistan,2015,68871.986217,,2959.450252,101.29
Pakistan,2016,69151.217218,7594.039259,2886.322586,101.97
Pakistan,2017,70683.805349,7963.673523,2891.20076,107.71
Pakistan,2018,73423.863929,8527.418892,2755.066159,107.87
Pakistan,2019,74113.430638,,2520.605054,112.09
Pakistan,2020,77014.675641,,2183.392885,111.57
Pakistan,2021,79723.014175,,2204.344836,119.78
Pakistan,2022,83137.522749,,1958.215837,118.49
Pakistan,2023,85009.538586,,1990.517715,
Pakistan,2024,87801.342358,,,
Philippines,2010,29935.110957,,8554.700144,55.96
Philippines,2011,30948.138543,,5353.086281,48.18
Philippines,2012,31901.325356,,4741.868421,43.0
Philippines,2013,32837.025179,,4867.560176,48.09
Philippines,2014,33452.067246,,4693.996686,54.15
Philippines,2015,33698.314258,,4473.090551,47.78
Philippines,2016,33373.799043,,5128.543744,56.81
Philippines,2017,34791.900071,,4388.024776,68.65
Philippines,2018,35180.752982,,4832.360429,58.46
Philippines,2019,35604.663529,,5464.133167,63.72
Philippines,2020,35535.512557,,5121.116622,67.25
Philippines,2021,35432.117978,,4758.80567,64.02
Philippines,2022,35602.258586,,4751.810236,71.45
Philippines,2023,36024.846785,,5008.306692,
Philippines,2024,36964.893337,,,
Singapore,2010,86.701944,2009.074423,289.299052,63.72
Singapore,2011,90.33877,2443.282971,1286.627537,62.57
Singapore,2012,94.266543,2664.740385,1566.613095,63.95
Singapore,2013,97.612423,2740.873507,3668.172241,69.68
Singapore,2014,100.812831,3144.728433,4150.387466,64.77
Singapore,2015,100.449148,3038.381988,4081.683123,61.05
Singapore,2016,100.012729,3118.194503,4223.760934,62.1
Singapore,2017,102.92219,3217.10084,2613.456072,64.98
Singapore,2018,106.122597,2697.536987,2158.007057,64.15
Singapore,2019,113.468987,3209.088391,1566.079168,58.03
Singapore,2020,108.668376,3224.17338,1618.717809,65.86
Singapore,2021,120.96085,2972.232989,1320.518016,65.15
Singapore,2022,111.72331,3052.484111,859.549465,65.15
Singapore,2023,114.632771,,1086.359599,
Singapore,2024,110.629303,,,
Sri Lanka,2010,5498.139637,,2044.646735,76.19
Sri Lanka,2011,5790.597419,,2397.050485,91.43
Sri Lanka,2012,6101.468422,,2642.266624,71.42
Sri Lanka,2013,6348.31408,3171.299483,2356.497422,55.54
Sri Lanka,2014,6638.553948,4037.667248,2178.410129,99.06
Sri Lanka,2015,6995.980276,3163.942345,2274.083767,65.24
Sri Lanka,2016,6669.518637,3572.397535,2523.268402,50.99
Sri Lanka,2017,6547.749947,4000.667252,2729.273474,47.29
Sri Lanka,2018,6957.996721,4825.783267,2982.319289,29.02
Sri Lanka,2019,6989.572813,4780.258553,2878.355359,60.59
Sri Lanka,2020,6926.743997,4657.692927,2897.024634,100.88
Sri Lanka,2021,6996.684824,5002.367705,3008.142947,50.27
Sri Lanka,2022,6704.421448,,2357.807878,50.27
Sri Lanka,2023,6876.705651,,2026.217293,
Sri Lanka,2024,7061.665415,,,
Thailand,2010,34725.217494,,2789.220477,72.97
Thailand,2011,36912.385131,,2582.197335,72.15
Thailand,2012,37910.924976,,2799.5723,73.53
Thailand,2013,38177.383414,,2950.828006,74.64
Thailand,2014,38067.481594,,2945.662436,70.02
Thailand,2015,35605.877375,,3186.168616,57.42
Thailand,2016,35193.615469,21453.158643,2943.738197,67.22
Thailand,2017,36890.589767,22688.365747,2931.845304,78.32
Thailand,2018,39139.732549,23474.030914,2798.121642,64.54
Thailand,2019,38756.145711,,2646.421083,56.77
Thailand,2020,37531.847523,,2633.474572,64.6
Thailand,2021,38374.582315,,2621.825367,62.47
Thailand,2022,39328.837681,,2304.889515,50.75
Thailand,2023,40089.362905,,2286.76235,
Thailand,2024,41187.041423,,,
Timor-Leste,2010,318.297037,,0.73512,0.05
Timor-Leste,2011,266.512432,,4.325112,
Timor-Leste,2012,316.738531,,0.901228,0.46
Timor-Leste,2013,300.246383,,0.588521,0.44
Timor-Leste,2014,296.512432,,8.876488,0.02
Timor-Leste,2015,283.51172,,8.505,0.8
Timor-Leste,2016,279.741452,,3.940232,0.4
Timor-Leste,2017,271.493266,,5.738954,0.13
Timor-Leste,2018,279.349862,,1.0461,0.23
Timor-Leste,2019,286.203749,,1.062178,0.68
Timor-Leste,2020,287.80169,,1.570579,0.37
Timor-Leste,2021,303.603404,,1.448006,0.41
Timor-Leste,2022,319.992329,,1.01168,0.43
Timor-Leste,2023,327.223647,,1.40289,
Timor-Leste,2024,336.807556,,,
Viet Nam,2010,29773.814704,,,118.22
Viet Nam,2011,31036.897289,,,97.71
Viet Nam,2012,31928.113868,,14556.258334,116.83
Viet Nam,2013,32736.295163,,17197.491824,159.47
Viet Nam,2014,33784.990148,,17719.011725,133.3
Viet Nam,2015,34631.987894,,21453.049979,147.38
Viet Nam,2016,35204.72227,,25150.76505,134.34
Viet Nam,2017,36320.143975,,27620.806984,135.62
Viet Nam,2018,37814.879024,,27916.276972,136.79
Viet Nam,2019,38823.440399,,29267.537374,133.9
Viet Nam,2020,40003.447238,,31239.896838,134.22
Viet Nam,2021,41487.876695,,32330.258209,134.22
Viet Nam,2022,42929.848992,,33596.814589,151.18
Viet Nam,2023,44575.545774,,35260.333031,
Viet Nam,2024,46084.646862,,,
