Area,Year,"Value US$, 2015 prices_Credit to Agriculture, Forestry and Fishing"
Nepal,2011,260.465435
Nepal,2012,289.493041
Nepal,2013,461.469809
Nepal,2014,518.951579
Nepal,2015,636.095645
Nepal,2016,718.113691
Nepal,2017,759.540243
Nepal,2018,952.762287
Nepal,2019,1249.175601
Nepal,2020,1459.195983
Nepal,2021,1977.78249
Nepal,2022,2276.405693
Nepal,2023,2428.847947
Pakistan,2010,2643.100341
Pakistan,2011,2341.513004
Pakistan,2012,2463.996457
Pakistan,2013,2609.601385
Pakistan,2014,2757.234077
Pakistan,2015,2959.450252
Pakistan,2016,2886.322586
Pakistan,2017,2891.20076
Pakistan,2018,2755.066159
Pakistan,2019,2520.605054
Pakistan,2020,2183.392885
Pakistan,2021,2204.344836
Pakistan,2022,1958.215837
Pakistan,2023,1990.517715
Philippines,2010,8554.700144
Philippines,2011,5353.086281
Philippines,2012,4741.868421
Philippines,2013,4867.560176
Philippines,2014,4693.996686
Philippines,2015,4473.090551
Philippines,2016,5128.543744
Philippines,2017,4388.024776
Philippines,2018,4832.360429
Philippines,2019,5464.133167
Philippines,2020,5121.116622
Philippines,2021,4758.80567
Philippines,2022,4751.810236
Philippines,2023,5008.306692
Singapore,2010,289.299052
Singapore,2011,1286.627537
Singapore,2012,1566.613095
Singapore,2013,3668.172241
Singapore,2014,4150.387466
Singapore,2015,4081.683123
Singapore,2016,4223.760934
Singapore,2017,2613.456072
Singapore,2018,2158.007057
Singapore,2019,1566.079168
Singapore,2020,1618.717809
Singapore,2021,1320.518016
Singapore,2022,859.549465
Singapore,2023,1086.359599
Sri Lanka,2010,2044.646735
Sri Lanka,2011,2397.050485
Sri Lanka,2012,2642.266624
Sri Lanka,2013,2356.497422
Sri Lanka,2014,2178.410129
Sri Lanka,2015,2274.083767
Sri Lanka,2016,2523.268402
Sri Lanka,2017,2729.273474
Sri Lanka,2018,2982.319289
Sri Lanka,2019,2878.355359
Sri Lanka,2020,2897.024634
Sri Lanka,2021,3008.142947
Sri Lanka,2022,2357.807878
Sri Lanka,2023,2026.217293
Thailand,2010,2789.220477
Thailand,2011,2582.197335
Thailand,2012,2799.5723
Thailand,2013,2950.828006
Thailand,2014,2945.662436
Thailand,2015,3186.168616
Thailand,2016,2943.738197
Thailand,2017,2931.845304
Thailand,2018,2798.121642
Thailand,2019,2646.421083
Thailand,2020,2633.474572
Thailand,2021,2621.825367
Thailand,2022,2304.889515
Thailand,2023,2286.76235
Timor-Leste,2010,0.73512
Timor-Leste,2011,4.325112
Timor-Leste,2012,0.901228
Timor-Leste,2013,0.588521
Timor-Leste,2014,8.876488
Timor-Leste,2015,8.505
Timor-Leste,2016,3.940232
Timor-Leste,2017,5.738954
Timor-Leste,2018,1.0461
Timor-Leste,2019,1.062178
Timor-Leste,2020,1.570579
Timor-Leste,2021,1.448006
Timor-Leste,2022,1.01168
Timor-Leste,2023,1.40289
Viet Nam,2012,14556.258334
Viet Nam,2013,17197.491824
Viet Nam,2014,17719.011725
Viet Nam,2015,21453.049979
Viet Nam,2016,25150.76505
Viet Nam,2017,27620.806984
Viet Nam,2018,27916.276972
Viet Nam,2019,29267.537374
Viet Nam,2020,31239.896838
Viet Nam,2021,32330.258209
Viet Nam,2022,33596.814589
Viet Nam,2023,35260.333031
